user_id,Q1,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Downlink Throughput(Kbps)_log,Uplink Throughput(Kbps)_log,Downlink TCP Retransmission Rate(%)_log,Video Streaming Download Throughput(Kbps)_log,Video Streaming xKB Start Delay(ms)_log,Web Page Download Throughput(Kbps)_log,Web Average TCP RTT(ms)_log
59,10,538.80293,791.2300000001001,158.95000000009998,0.6600000001,5158.0300000001,1066.0000000001,202.57000000009998,91.0000000001,0,0,0,0,0,0,0,6.673588696677762,5.0685896873574405,-0.4155154438101506,8.548310002632228,6.971668604725884,5.311085505826209,4.510859506517949
60,10,277.03248,1135.9600000001,41.8000000001,2.3000000001,5910.0900000001,1227.0000000001,2209.3400000001,79.0000000001,0,0,0,0,0,0,0,7.035233387393648,3.7328963395331027,0.8329091229785822,8.684416338710605,7.112327444710993,7.700449107375345,4.369447852468287
61,7,163.46258,2117.8300000001,132.5600000001,2.2100000001,20236.2900000001,648.0000000001,2434.0400000001,63.0000000001,1,0,1,1,1,0,0,7.658147258539662,4.887035373119062,0.7929925155749104,9.91523280620458,6.473890696352429,7.797307707266218,4.14313472639312
62,1,413.2251,659.5500000001,34.700000000100005,2.4000000001,1742.9500000001,2190.0000000001,1832.1400000001001,218.0000000001,0,0,0,0,0,0,0,6.491557784295081,3.5467396869556955,0.8754687373955665,7.463334358935358,7.691656822810592,7.5132399615283045,5.384495062789548
63,6,254.33322,1992.8600000001,307.4800000001,2.7000000001,4872.0900000001,1496.0000000001,3342.5300000001002,50.0000000001,0,0,1,0,0,0,0,7.597326071884977,5.728410044481256,0.9932517730473205,8.491278282125535,7.31055015853449,8.114483284253726,3.912023005430146
64,5,347.71301,667.6100000001001,24.360000000099998,3.2200000001,894.4200000001,3803.0000000001,608.5900000001001,807.0000000001,0,0,0,0,0,0,0,6.503704170705004,3.1929424428458013,1.169381359587373,6.796175463510505,8.243545507928285,6.411144806174575,6.6933236682700725
65,2,241.65412,976.5500000001,156.6200000001,1.6200000001000001,6017.8500000001,1917.0000000001,1511.7100000001,205.0000000001,0,0,0,0,0,0,0,6.884025952283003,5.05382248932343,0.4824261493060212,8.702485331655042,7.558516743045697,7.320996739401976,5.323009979138896
66,8,323.08885,1239.4500000001,67.4700000001,2.0300000001,2724.0900000001,2927.0000000001,3578.0300000001002,68.0000000001,0,0,0,0,0,0,0,7.122423011815384,4.211683054640816,0.708035793102957,7.90988970637122,7.98173328669192,8.182567648605929,4.219507705177577
67,3,204.46809,1109.9700000001,100.5000000001,0.7900000001,5360.8400000001,1402.0000000001,1671.2700000001,136.0000000001,0,0,0,1,1,0,0,7.012088266914207,4.610157727500125,-0.23572233339448753,8.586875958204041,7.2456550675946065,7.421339095435109,4.912654885736787
68,10,667.94216,2002.1100000001,739.0100000001,1.0300000001,3575.8800000001,2420.0000000001,2720.4400000001,211.0000000001,0,0,0,0,0,0,0,7.601956903420737,6.605311452656513,0.029558802338631816,8.181966578683403,7.7915228191507735,7.908548910913463,5.35185813347654
69,3,106.91202,613.8000000001,207.7700000001,1.3700000001000001,2663.7300000001,3613.0000000001,505.2200000001,238.0000000001,1,0,0,0,0,0,0,6.419669142185799,5.336431698657176,0.3148107399130263,7.887482675172571,8.192293731147668,6.224993977974807,5.472270673671895
70,2,283.66389,257.6700000001,44.4000000001,1.2500000001,642.2600000001,3077.0000000001,485.5000000001,616.0000000001,0,0,0,1,1,0,0,5.551679696446631,3.793239469440431,0.22314355139420977,6.464993206129735,8.031710375322074,6.185179287731586,6.423246963533682
71,1,538.43804,810.0100000001,277.0000000001,7.0300000001,987.0400000001,4955.0000000001,426.65000000009996,193.0000000001,0,0,0,0,0,0,0,6.697046593269413,5.624017506187699,1.9501867058367983,6.89471056546143,8.50815244676411,6.055964004982828,5.262690188905403
72,8,506.38998,1146.5300000001,233.54000000009998,0.6500000001,2812.5700000001,5116.0000000001,3480.5000000001,116.0000000001,0,0,0,1,0,0,0,7.044495268549689,5.453353368647997,-0.43078291593860807,7.941853935091877,8.540128162698753,8.15493124060875,4.753590191107227
73,3,496.97034,4084.5300000001002,89.3500000001,1.8200000001,7042.7300000001,1369.0000000001,1518.8800000001002,49.0000000001,0,0,0,0,0,0,0,8.314961945595226,4.492561241606556,0.5988365011436491,8.859751158074193,7.2218358252885215,7.325728500133554,3.8918202981126675
74,1,748.66653,9393.7500000001,145.7400000001,5.0100000001,10312.7800000001,1536.0000000001,1738.2100000001,80.0000000001,1,0,1,1,1,0,0,9.147799853501295,4.981824212242822,1.6114359151167335,9.241139181789501,7.3369369137076825,7.460611127064765,4.382026634675132
75,10,736.40016,1666.4300000001,107.3900000001,2.2900000001,4465.5100000001,1677.0000000001,2574.8000000001,172.0000000001,0,0,0,0,0,0,0,7.418438892665233,4.676467067871056,0.8285518176098164,8.404138708512342,7.424761761823269,7.8535271401785,5.1474944768140345
76,3,513.78969,2169.9300000001,272.6800000001,0.7900000001,5224.2600000001,6055.0000000001,1047.8100000001,361.0000000001,0,0,0,1,0,0,0,7.6824501879497324,5.608298946494951,-0.23572233339448753,8.561068440008752,8.70863965598721,6.954457550734743,5.888877958333158
